source,target,order,distance_km,shared_period
S. Stefano Maggiore,S. Maria di Valverde,Benedictine,135.8,None
S. Stefano Maggiore,S. Giorgio,Benedictine,135.8,None
S. Stefano Maggiore,S. Maria di Valfabbrica,Benedictine,135.8,None
S. Stefano Maggiore,S. Galgano,Benedictine,135.8,None
S. Stefano Maggiore,S. Giovanni di Columbella,Benedictine,135.8,None
S. Stefano Maggiore,S. Maria Colomata,Benedictine,135.8,None
S. Stefano Maggiore,S. Caterina Vecchia,Benedictine,135.8,None
S. Stefano Maggiore,S. Maria Annunziata di Monte Corneo (Benedictine),Benedictine,135.8,None
S. Stefano Maggiore,S. Maria in Volturna,Benedictine,66.3,None
S. Stefano Maggiore,S Trinità (Orvieto),Benedictine,96.8,None
S. Sebastiano in Catacumbas,"S. Salvatore ""ad duos amantes""",Benedictine,0.0,None
S. Sebastiano in Catacumbas,S. Maria in Cannella,Benedictine,0.0,None
S. Sebastiano in Catacumbas,S. Maria sopra Minerva,Benedictine,0.0,752-858
S. Sebastiano in Catacumbas,"S. Pancrazio sulla Via Aurelia, al Gianicolo",Benedictine,0.0,None
S. Sebastiano in Catacumbas,S. Urbano in Campo Carleo,Benedictine,0.0,None
S. Sebastiano in Catacumbas,S. Maria della Massima,Benedictine,0.0,440-858
S. Sebastiano in Catacumbas,S. Cecilia in Trastevere,Benedictine,0.0,None
S. Sebastiano in Catacumbas,S. Maria in Campo Marzio,Benedictine,0.0,752-858
S. Sebastiano in Catacumbas,S. Francesca Romana a Tor de’ Specchi (Rome),Benedictine,0.0,None
S. Sebastiano in Catacumbas,S. Francisco,Benedictine,73.6,None
S. Sebastiano in Catacumbas,S. Maria dentro la CittÃ ,Benedictine,99.1,None
S. Sebastiano in Catacumbas,S. Caterina della Scala (Todi),Benedictine,99.1,None
S. Sebastiano in Catacumbas,S. Antonio Abate,Benedictine,45.2,None
S. Sebastiano in Catacumbas,"S. Sperandio, Perugia",Benedictine,135.8,None
S. Sebastiano in Catacumbas,S. Angelo de Arenaria,Benedictine,135.8,None
S. Sebastiano in Catacumbas,S. Maria di Valverde,Benedictine,135.8,None
S. Sebastiano in Catacumbas,S. Giorgio,Benedictine,135.8,None
S. Sebastiano in Catacumbas,S. Maria di Valfabbrica,Benedictine,135.8,None
S. Sebastiano in Catacumbas,S. Galgano,Benedictine,135.8,None
S. Sebastiano in Catacumbas,S. Giovanni di Columbella,Benedictine,135.8,None
S. Sebastiano in Catacumbas,S. Maria Colomata,Benedictine,135.8,None
S. Sebastiano in Catacumbas,S. Caterina Vecchia,Benedictine,135.8,None
S. Sebastiano in Catacumbas,S. Maria Annunziata di Monte Corneo (Benedictine),Benedictine,135.8,None
S. Sebastiano in Catacumbas,S. Maria in Volturna,Benedictine,66.3,None
S. Sebastiano in Catacumbas,S Trinità (Orvieto),Benedictine,96.8,None
"S. Salvatore ""ad duos amantes""",S. Maria in Cannella,Benedictine,0.0,1100-1182
"S. Salvatore ""ad duos amantes""",S. Maria sopra Minerva,Benedictine,0.0,1000-1182
"S. Salvatore ""ad duos amantes""","S. Pancrazio sulla Via Aurelia, al Gianicolo",Benedictine,0.0,None
"S. Salvatore ""ad duos amantes""",S. Urbano in Campo Carleo,Benedictine,0.0,None
"S. Salvatore ""ad duos amantes""",S. Maria della Massima,Benedictine,0.0,1000-1182
"S. Salvatore ""ad duos amantes""",S. Cecilia in Trastevere,Benedictine,0.0,None
"S. Salvatore ""ad duos amantes""",S. Maria in Campo Marzio,Benedictine,0.0,1000-1182
"S. Salvatore ""ad duos amantes""",S. Francesca Romana a Tor de’ Specchi (Rome),Benedictine,0.0,None
"S. Salvatore ""ad duos amantes""",S. Francisco,Benedictine,73.6,None
"S. Salvatore ""ad duos amantes""",S. Maria dentro la CittÃ ,Benedictine,99.1,None
"S. Salvatore ""ad duos amantes""",S. Caterina della Scala (Todi),Benedictine,99.1,None
"S. Salvatore ""ad duos amantes""",S. Antonio Abate,Benedictine,45.2,None
"S. Salvatore ""ad duos amantes""","S. Sperandio, Perugia",Benedictine,135.8,None
"S. Salvatore ""ad duos amantes""",S. Angelo de Arenaria,Benedictine,135.8,None
"S. Salvatore ""ad duos amantes""",S. Maria di Valverde,Benedictine,135.8,1000-1182
"S. Salvatore ""ad duos amantes""",S. Giorgio,Benedictine,135.8,None
"S. Salvatore ""ad duos amantes""",S. Maria di Valfabbrica,Benedictine,135.8,None
"S. Salvatore ""ad duos amantes""",S. Galgano,Benedictine,135.8,None
"S. Salvatore ""ad duos amantes""",S. Giovanni di Columbella,Benedictine,135.8,None
"S. Salvatore ""ad duos amantes""",S. Maria Colomata,Benedictine,135.8,None
"S. Salvatore ""ad duos amantes""",S. Caterina Vecchia,Benedictine,135.8,None
"S. Salvatore ""ad duos amantes""",S. Maria Annunziata di Monte Corneo (Benedictine),Benedictine,135.8,None
"S. Salvatore ""ad duos amantes""",S. Maria in Volturna,Benedictine,66.3,None
"S. Salvatore ""ad duos amantes""",S Trinità (Orvieto),Benedictine,96.8,None
S. Maria in Cannella,S. Maria sopra Minerva,Benedictine,0.0,1100-1200
S. Maria in Cannella,"S. Pancrazio sulla Via Aurelia, al Gianicolo",Benedictine,0.0,None
S. Maria in Cannella,S. Urbano in Campo Carleo,Benedictine,0.0,None
S. Maria in Cannella,S. Maria della Massima,Benedictine,0.0,1100-1200
S. Maria in Cannella,S. Cecilia in Trastevere,Benedictine,0.0,None
S. Maria in Cannella,S. Maria in Campo Marzio,Benedictine,0.0,1100-1200
S. Maria in Cannella,S. Francesca Romana a Tor de’ Specchi (Rome),Benedictine,0.0,None
S. Maria in Cannella,S. Francisco,Benedictine,73.6,None
S. Maria in Cannella,S. Maria dentro la CittÃ ,Benedictine,99.1,None
S. Maria in Cannella,S. Caterina della Scala (Todi),Benedictine,99.1,None
S. Maria in Cannella,S. Antonio Abate,Benedictine,45.2,None
S. Maria in Cannella,"S. Sperandio, Perugia",Benedictine,135.8,None
S. Maria in Cannella,S. Angelo de Arenaria,Benedictine,135.8,None
S. Maria in Cannella,S. Maria di Valverde,Benedictine,135.8,1100-1200
S. Maria in Cannella,S. Giorgio,Benedictine,135.8,None
S. Maria in Cannella,S. Maria di Valfabbrica,Benedictine,135.8,None
S. Maria in Cannella,S. Galgano,Benedictine,135.8,None
S. Maria in Cannella,S. Giovanni di Columbella,Benedictine,135.8,None
S. Maria in Cannella,S. Maria Colomata,Benedictine,135.8,None
S. Maria in Cannella,S. Caterina Vecchia,Benedictine,135.8,None
S. Maria in Cannella,S. Maria Annunziata di Monte Corneo (Benedictine),Benedictine,135.8,None
S. Maria in Cannella,S. Maria in Volturna,Benedictine,66.3,None
S. Maria in Cannella,S Trinità (Orvieto),Benedictine,96.8,None
S. Maria sopra Minerva,"S. Pancrazio sulla Via Aurelia, al Gianicolo",Benedictine,0.0,1255-1276
S. Maria sopra Minerva,S. Urbano in Campo Carleo,Benedictine,0.0,1264-1276
S. Maria sopra Minerva,S. Maria della Massima,Benedictine,0.0,752-1276
S. Maria sopra Minerva,S. Cecilia in Trastevere,Benedictine,0.0,None
S. Maria sopra Minerva,S. Maria in Campo Marzio,Benedictine,0.0,752-1276
S. Maria sopra Minerva,S. Francesca Romana a Tor de’ Specchi (Rome),Benedictine,0.0,None
S. Maria sopra Minerva,S. Francisco,Benedictine,73.6,1256-1276
S. Maria sopra Minerva,S. Maria dentro la CittÃ ,Benedictine,99.1,None
S. Maria sopra Minerva,S. Caterina della Scala (Todi),Benedictine,99.1,None
S. Maria sopra Minerva,S. Antonio Abate,Benedictine,45.2,None
S. Maria sopra Minerva,"S. Sperandio, Perugia",Benedictine,135.8,1262-1276
S. Maria sopra Minerva,S. Angelo de Arenaria,Benedictine,135.8,1248-1253
S. Maria sopra Minerva,S. Maria di Valverde,Benedictine,135.8,1000-1276
S. Maria sopra Minerva,S. Giorgio,Benedictine,135.8,1235-1276
S. Maria sopra Minerva,S. Maria di Valfabbrica,Benedictine,135.8,None
S. Maria sopra Minerva,S. Galgano,Benedictine,135.8,None
S. Maria sopra Minerva,S. Giovanni di Columbella,Benedictine,135.8,None
S. Maria sopra Minerva,S. Maria Colomata,Benedictine,135.8,None
S. Maria sopra Minerva,S. Caterina Vecchia,Benedictine,135.8,1258-1276
S. Maria sopra Minerva,S. Maria Annunziata di Monte Corneo (Benedictine),Benedictine,135.8,None
S. Maria sopra Minerva,S. Maria in Volturna,Benedictine,66.3,None
S. Maria sopra Minerva,S Trinità (Orvieto),Benedictine,96.8,1240-1276
"S. Pancrazio sulla Via Aurelia, al Gianicolo",S. Urbano in Campo Carleo,Benedictine,0.0,1264-1430
"S. Pancrazio sulla Via Aurelia, al Gianicolo",S. Maria della Massima,Benedictine,0.0,1255-1430
"S. Pancrazio sulla Via Aurelia, al Gianicolo",S. Cecilia in Trastevere,Benedictine,0.0,1344-1430
"S. Pancrazio sulla Via Aurelia, al Gianicolo",S. Maria in Campo Marzio,Benedictine,0.0,1255-1430
"S. Pancrazio sulla Via Aurelia, al Gianicolo",S. Francesca Romana a Tor de’ Specchi (Rome),Benedictine,0.0,None
"S. Pancrazio sulla Via Aurelia, al Gianicolo",S. Francisco,Benedictine,73.6,1256-1400
"S. Pancrazio sulla Via Aurelia, al Gianicolo",S. Maria dentro la CittÃ ,Benedictine,99.1,1364-1408
"S. Pancrazio sulla Via Aurelia, al Gianicolo",S. Caterina della Scala (Todi),Benedictine,99.1,1421-1430
"S. Pancrazio sulla Via Aurelia, al Gianicolo",S. Antonio Abate,Benedictine,45.2,1387-1430
"S. Pancrazio sulla Via Aurelia, al Gianicolo","S. Sperandio, Perugia",Benedictine,135.8,1262-1430
"S. Pancrazio sulla Via Aurelia, al Gianicolo",S. Angelo de Arenaria,Benedictine,135.8,None
"S. Pancrazio sulla Via Aurelia, al Gianicolo",S. Maria di Valverde,Benedictine,135.8,1255-1302
"S. Pancrazio sulla Via Aurelia, al Gianicolo",S. Giorgio,Benedictine,135.8,1255-1369
"S. Pancrazio sulla Via Aurelia, al Gianicolo",S. Maria di Valfabbrica,Benedictine,135.8,1296-1383
"S. Pancrazio sulla Via Aurelia, al Gianicolo",S. Galgano,Benedictine,135.8,1290-1412
"S. Pancrazio sulla Via Aurelia, al Gianicolo",S. Giovanni di Columbella,Benedictine,135.8,1349-1422
"S. Pancrazio sulla Via Aurelia, al Gianicolo",S. Maria Colomata,Benedictine,135.8,1297-1430
"S. Pancrazio sulla Via Aurelia, al Gianicolo",S. Caterina Vecchia,Benedictine,135.8,1258-1430
"S. Pancrazio sulla Via Aurelia, al Gianicolo",S. Maria Annunziata di Monte Corneo (Benedictine),Benedictine,135.8,1340-1430
"S. Pancrazio sulla Via Aurelia, al Gianicolo",S. Maria in Volturna,Benedictine,66.3,1320-1400
"S. Pancrazio sulla Via Aurelia, al Gianicolo",S Trinità (Orvieto),Benedictine,96.8,1255-1430
S. Urbano in Campo Carleo,S. Maria della Massima,Benedictine,0.0,1264-1432
S. Urbano in Campo Carleo,S. Cecilia in Trastevere,Benedictine,0.0,1344-1432
S. Urbano in Campo Carleo,S. Maria in Campo Marzio,Benedictine,0.0,1264-1432
S. Urbano in Campo Carleo,S. Francesca Romana a Tor de’ Specchi (Rome),Benedictine,0.0,None
S. Urbano in Campo Carleo,S. Francisco,Benedictine,73.6,1264-1400
S. Urbano in Campo Carleo,S. Maria dentro la CittÃ ,Benedictine,99.1,1364-1408
S. Urbano in Campo Carleo,S. Caterina della Scala (Todi),Benedictine,99.1,1421-1432
S. Urbano in Campo Carleo,S. Antonio Abate,Benedictine,45.2,1387-1432
S. Urbano in Campo Carleo,"S. Sperandio, Perugia",Benedictine,135.8,1264-1432
S. Urbano in Campo Carleo,S. Angelo de Arenaria,Benedictine,135.8,None
S. Urbano in Campo Carleo,S. Maria di Valverde,Benedictine,135.8,1264-1302
S. Urbano in Campo Carleo,S. Giorgio,Benedictine,135.8,1264-1369
S. Urbano in Campo Carleo,S. Maria di Valfabbrica,Benedictine,135.8,1296-1383
S. Urbano in Campo Carleo,S. Galgano,Benedictine,135.8,1290-1412
S. Urbano in Campo Carleo,S. Giovanni di Columbella,Benedictine,135.8,1349-1422
S. Urbano in Campo Carleo,S. Maria Colomata,Benedictine,135.8,1297-1432
S. Urbano in Campo Carleo,S. Caterina Vecchia,Benedictine,135.8,1264-1432
S. Urbano in Campo Carleo,S. Maria Annunziata di Monte Corneo (Benedictine),Benedictine,135.8,1340-1432
S. Urbano in Campo Carleo,S. Maria in Volturna,Benedictine,66.3,1320-1400
S. Urbano in Campo Carleo,S Trinità (Orvieto),Benedictine,96.8,1264-1432
S. Maria della Massima,S. Cecilia in Trastevere,Benedictine,0.0,1344-1810
S. Maria della Massima,S. Maria in Campo Marzio,Benedictine,0.0,752-1810
S. Maria della Massima,S. Francesca Romana a Tor de’ Specchi (Rome),Benedictine,0.0,1434-1810
S. Maria della Massima,S. Francisco,Benedictine,73.6,1256-1400
S. Maria della Massima,S. Maria dentro la CittÃ ,Benedictine,99.1,1364-1408
S. Maria della Massima,S. Caterina della Scala (Todi),Benedictine,99.1,1421-1810
S. Maria della Massima,S. Antonio Abate,Benedictine,45.2,1387-1810
S. Maria della Massima,"S. Sperandio, Perugia",Benedictine,135.8,1262-1799
S. Maria della Massima,S. Angelo de Arenaria,Benedictine,135.8,1248-1253
S. Maria della Massima,S. Maria di Valverde,Benedictine,135.8,1000-1302
S. Maria della Massima,S. Giorgio,Benedictine,135.8,1235-1369
S. Maria della Massima,S. Maria di Valfabbrica,Benedictine,135.8,1296-1383
S. Maria della Massima,S. Galgano,Benedictine,135.8,1290-1412
S. Maria della Massima,S. Giovanni di Columbella,Benedictine,135.8,1349-1422
S. Maria della Massima,S. Maria Colomata,Benedictine,135.8,1297-1575
S. Maria della Massima,S. Caterina Vecchia,Benedictine,135.8,1258-1643
S. Maria della Massima,S. Maria Annunziata di Monte Corneo (Benedictine),Benedictine,135.8,1340-1808
S. Maria della Massima,S. Maria in Volturna,Benedictine,66.3,1320-1400
S. Maria della Massima,S Trinità (Orvieto),Benedictine,96.8,1240-1810
S. Cecilia in Trastevere,S. Maria in Campo Marzio,Benedictine,0.0,1344-1873
S. Cecilia in Trastevere,S. Francesca Romana a Tor de’ Specchi (Rome),Benedictine,0.0,1434-1873
S. Cecilia in Trastevere,S. Francisco,Benedictine,73.6,1344-1400
S. Cecilia in Trastevere,S. Maria dentro la CittÃ ,Benedictine,99.1,1364-1408
S. Cecilia in Trastevere,S. Caterina della Scala (Todi),Benedictine,99.1,1421-1866
S. Cecilia in Trastevere,S. Antonio Abate,Benedictine,45.2,1387-1810
S. Cecilia in Trastevere,"S. Sperandio, Perugia",Benedictine,135.8,1344-1799
S. Cecilia in Trastevere,S. Angelo de Arenaria,Benedictine,135.8,None
S. Cecilia in Trastevere,S. Maria di Valverde,Benedictine,135.8,None
S. Cecilia in Trastevere,S. Giorgio,Benedictine,135.8,1344-1369
S. Cecilia in Trastevere,S. Maria di Valfabbrica,Benedictine,135.8,1344-1383
S. Cecilia in Trastevere,S. Galgano,Benedictine,135.8,1344-1412
S. Cecilia in Trastevere,S. Giovanni di Columbella,Benedictine,135.8,1349-1422
S. Cecilia in Trastevere,S. Maria Colomata,Benedictine,135.8,1344-1575
S. Cecilia in Trastevere,S. Caterina Vecchia,Benedictine,135.8,1344-1643
S. Cecilia in Trastevere,S. Maria Annunziata di Monte Corneo (Benedictine),Benedictine,135.8,1344-1808
S. Cecilia in Trastevere,S. Maria in Volturna,Benedictine,66.3,1344-1400
S. Cecilia in Trastevere,S Trinità (Orvieto),Benedictine,96.8,1344-1860
S. Maria in Campo Marzio,S. Francesca Romana a Tor de’ Specchi (Rome),Benedictine,0.0,1434-1873
S. Maria in Campo Marzio,S. Francisco,Benedictine,73.6,1256-1400
S. Maria in Campo Marzio,S. Maria dentro la CittÃ ,Benedictine,99.1,1364-1408
S. Maria in Campo Marzio,S. Caterina della Scala (Todi),Benedictine,99.1,1421-1866
S. Maria in Campo Marzio,S. Antonio Abate,Benedictine,45.2,1387-1810
S. Maria in Campo Marzio,"S. Sperandio, Perugia",Benedictine,135.8,1262-1799
S. Maria in Campo Marzio,S. Angelo de Arenaria,Benedictine,135.8,1248-1253
S. Maria in Campo Marzio,S. Maria di Valverde,Benedictine,135.8,1000-1302
S. Maria in Campo Marzio,S. Giorgio,Benedictine,135.8,1235-1369
S. Maria in Campo Marzio,S. Maria di Valfabbrica,Benedictine,135.8,1296-1383
S. Maria in Campo Marzio,S. Galgano,Benedictine,135.8,1290-1412
S. Maria in Campo Marzio,S. Giovanni di Columbella,Benedictine,135.8,1349-1422
S. Maria in Campo Marzio,S. Maria Colomata,Benedictine,135.8,1297-1575
S. Maria in Campo Marzio,S. Caterina Vecchia,Benedictine,135.8,1258-1643
S. Maria in Campo Marzio,S. Maria Annunziata di Monte Corneo (Benedictine),Benedictine,135.8,1340-1808
S. Maria in Campo Marzio,S. Maria in Volturna,Benedictine,66.3,1320-1400
S. Maria in Campo Marzio,S Trinità (Orvieto),Benedictine,96.8,1240-1860
S. Francesca Romana a Tor de’ Specchi (Rome),S. Francisco,Benedictine,73.6,None
S. Francesca Romana a Tor de’ Specchi (Rome),S. Maria dentro la CittÃ ,Benedictine,99.1,None
S. Francesca Romana a Tor de’ Specchi (Rome),S. Caterina della Scala (Todi),Benedictine,99.1,1434-1866
S. Francesca Romana a Tor de’ Specchi (Rome),S. Antonio Abate,Benedictine,45.2,1434-1810
S. Francesca Romana a Tor de’ Specchi (Rome),"S. Sperandio, Perugia",Benedictine,135.8,1434-1799
S. Francesca Romana a Tor de’ Specchi (Rome),S. Angelo de Arenaria,Benedictine,135.8,None
S. Francesca Romana a Tor de’ Specchi (Rome),S. Maria di Valverde,Benedictine,135.8,None
S. Francesca Romana a Tor de’ Specchi (Rome),S. Giorgio,Benedictine,135.8,None
S. Francesca Romana a Tor de’ Specchi (Rome),S. Maria di Valfabbrica,Benedictine,135.8,None
S. Francesca Romana a Tor de’ Specchi (Rome),S. Galgano,Benedictine,135.8,None
S. Francesca Romana a Tor de’ Specchi (Rome),S. Giovanni di Columbella,Benedictine,135.8,None
S. Francesca Romana a Tor de’ Specchi (Rome),S. Maria Colomata,Benedictine,135.8,1434-1575
S. Francesca Romana a Tor de’ Specchi (Rome),S. Caterina Vecchia,Benedictine,135.8,1434-1643
S. Francesca Romana a Tor de’ Specchi (Rome),S. Maria Annunziata di Monte Corneo (Benedictine),Benedictine,135.8,1434-1808
S. Francesca Romana a Tor de’ Specchi (Rome),S. Maria in Volturna,Benedictine,66.3,None
S. Francesca Romana a Tor de’ Specchi (Rome),S Trinità (Orvieto),Benedictine,96.8,1434-1860
San Gregorio Magno al Celio,Monastero di Sant'Antonio Abate (Rome),Camaldolese ,0.0,1600-1810
S. Pietro in Montorio,Seligenporten,Cistercian,0.0,1400-1472
S. Pietro in Montorio,S. Maria de Eula,Cistercian,0.0,1400-1472
S. Pietro in Montorio,S. Petronilla,Cistercian,99.1,None
S. Pietro in Montorio,S. Giuliana,Cistercian,135.8,1400-1472
S. Pietro in Montorio,S. Fortunato,Cistercian,66.3,1400-1410
S. Pietro in Montorio,S. Maria del Paradiso,Cistercian,66.3,1400-1436
Seligenporten,S. Maria de Eula,Cistercian,0.0,1242-1556
Seligenporten,S. Petronilla,Cistercian,99.1,1242-1399
Seligenporten,S. Giuliana,Cistercian,135.8,1253-1556
Seligenporten,S. Fortunato,Cistercian,66.3,1369-1410
Seligenporten,S. Maria del Paradiso,Cistercian,66.3,1270-1436
S. Maria de Eula,S. Petronilla,Cistercian,99.1,1200-1399
S. Maria de Eula,S. Giuliana,Cistercian,135.8,1253-1567
S. Maria de Eula,S. Fortunato,Cistercian,66.3,1369-1410
S. Maria de Eula,S. Maria del Paradiso,Cistercian,66.3,1270-1436
S. Cosma e S. Damiano in Mica Aurea,Montesanto (Cuti),Clarisse,0.0,1235-1810
S. Cosma e S. Damiano in Mica Aurea,Maggiore di Monte Mascarano,Clarisse,99.1,1235-1413
S. Cosma e S. Damiano in Mica Aurea,S. Maria di Montecristo,Clarisse,99.1,1248-1794
Montesanto (Cuti),Maggiore di Monte Mascarano,Clarisse,99.1,1235-1413
Montesanto (Cuti),S. Maria di Montecristo,Clarisse,99.1,1248-1794
S. Maria della Concezione,S. Giovanni di Paragnano (Todi),Franciscan,99.1,1362-1873
S. Maria della Concezione,S. Francesco delle Donne,Franciscan,135.8,1292-1815
S. Maria della Concezione,S. Antonio da Padova convent (Perugia),Franciscan,135.8,1427-1873
S. Maria del Ponte,S. Francisco,Benedictine,99.7,1370-1400
S. Maria del Ponte,S. Maria dentro la CittÃ ,Benedictine,74.1,1370-1408
S. Maria del Ponte,S. Caterina della Scala (Todi),Benedictine,74.1,1421-1573
S. Maria del Ponte,S. Antonio Abate,Benedictine,128.3,1387-1573
S. Maria del Ponte,"S. Sperandio, Perugia",Benedictine,37.7,1370-1573
S. Maria del Ponte,S. Angelo de Arenaria,Benedictine,37.7,None
S. Maria del Ponte,S. Maria di Valverde,Benedictine,37.7,None
S. Maria del Ponte,S. Giorgio,Benedictine,37.7,None
S. Maria del Ponte,S. Maria di Valfabbrica,Benedictine,37.7,1370-1383
S. Maria del Ponte,S. Galgano,Benedictine,37.7,1370-1412
S. Maria del Ponte,S. Giovanni di Columbella,Benedictine,37.7,1370-1422
S. Maria del Ponte,S. Maria Colomata,Benedictine,37.7,1370-1573
S. Maria del Ponte,S. Caterina Vecchia,Benedictine,37.7,1370-1573
S. Maria del Ponte,S. Maria Annunziata di Monte Corneo (Benedictine),Benedictine,37.7,1370-1573
S. Maria del Ponte,S. Sperandio,Benedictine,15.6,None
S. Maria del Ponte,S. Basilio,Benedictine,15.6,1370-1443
S. Maria del Ponte,S. Maria della Fonte fuori della Porta S. Maria,Benedictine,27.2,None
S. Maria del Ponte,S. Maria in Volturna,Benedictine,117.8,1370-1400
S. Maria del Ponte,S Trinità (Orvieto),Benedictine,85.9,1370-1573
S. Maria del Ponte,S. Maria,Benedictine,40.9,1370-1573
S. Maria del Ponte,S. Maria Maddalena (Benedictine),Benedictine,40.9,1370-1573
S. Maria del Ponte,S. Michele Archangelo,Benedictine,40.9,1370-1573
